blockcollect,ID,condition,p,trialcollect
train,9,m1,2.0665228832620827e-14,39
train,9,m1,8.377073177929378e-14,40
test,9,m1,2.150050338089451e-20,41
test,9,m1,2.1550023388370306e-19,42
test,9,m1,1.4909584051853338e-15,43
test,9,m1,1.7207794258191236e-21,44
test,9,m1,5.264037022576461e-15,45
test,9,m1,5.014183274646512e-19,46
test,9,m1,3.802066864173027e-17,47
test,9,m1,7.50820422951463e-15,48
test,9,m1,3.648018437893766e-15,49
test,9,m1,1.925903841430227e-16,50
test,9,m1,7.957469657705364e-15,51
test,9,m1,1.2238926226851971e-15,52
test,9,m1,3.0237318458176847e-19,53
test,9,m1,3.535909656857719e-16,54
test,9,m1,1.662654471753063e-16,55
test,9,m1,1.574227884889299e-15,56
test,9,m1,1.9928940361022343e-14,57
test,9,m1,7.856937011261646e-15,58
test,9,m1,5.098083687189883e-18,59
test,9,m1,1.3408175801197728e-14,60
test,9,m1,3.3195024267735794e-15,61
test,9,m1,2.4088165205440708e-14,62
test,9,m1,1.2360286947600552e-13,63
test,9,m1,1.1927868835324117e-14,64
train,11,m1,1.270500237896393e-34,1
train,11,m1,1.1164784994738982e-22,2
train,11,m1,3.228616995300704e-21,3
train,11,m1,4.115532124593886e-21,4
train,11,m1,1.860574043093075e-18,5
train,11,m1,4.266821765494519e-18,6
train,11,m1,1.1566355869922057e-18,7
train,11,m1,3.041776708162468e-17,8
train,11,m1,5.928323776130948e-16,9
train,11,m1,8.850864318052918e-16,10
train,11,m1,1.2478069038850278e-15,11
train,11,m1,2.6690941227713963e-17,12
train,11,m1,2.542832612326812e-16,13
train,11,m1,5.22100057554567e-17,14
train,11,m1,5.862034448283235e-17,15
train,11,m1,6.75253135266995e-18,16
train,11,m1,3.799783448635687e-15,17
train,11,m1,2.43354127463157e-16,18
train,11,m1,2.1024365720058967e-15,19
train,11,m1,6.708383416432627e-16,20
train,11,m1,9.14237705959759e-16,21
train,11,m1,1.3278486586643622e-15,22
train,11,m1,7.823703461817886e-16,23
train,11,m1,1.1919190347504786e-15,24
train,11,m1,2.5753626479683176e-16,25
train,11,m1,3.7110522475482667e-16,26
train,11,m1,2.859811505309803e-15,27
train,11,m1,5.194884405729672e-15,28
train,11,m1,1.5325408142830439e-16,29
train,11,m1,4.368126039100851e-15,30
train,11,m1,2.164473913572402e-17,31
train,11,m1,5.410574569484402e-15,32
train,11,m1,1.727547921067437e-14,33
train,11,m1,5.097622153495303e-15,34
train,11,m1,1.2933551053599147e-14,35
train,11,m1,1.0502767241787805e-14,36
train,11,m1,1.829410578644934e-14,37
train,11,m1,4.240020267938342e-14,38
train,11,m1,1.0541621490111307e-14,39
train,11,m1,3.9207355183388647e-16,40
test,11,m1,7.516958807130615e-26,41
test,11,m1,1.4638389118152186e-19,42
test,11,m1,1.692704458617915e-18,43
test,11,m1,2.381172517613723e-19,44
test,11,m1,9.088164323770141e-22,45
test,11,m1,6.615458233120513e-22,46
test,11,m1,1.3187009569438999e-14,47
test,11,m1,9.003169444647612e-18,48
test,11,m1,1.1267273292535086e-16,49
test,11,m1,4.019431731178487e-17,50
test,11,m1,3.5654781265024443e-14,51
test,11,m1,1.3672623193099664e-16,52
test,11,m1,7.271135960022827e-17,53
test,11,m1,2.338809639206241e-16,54
test,11,m1,1.7672271741876088e-16,55
test,11,m1,3.10999361300638e-14,56
test,11,m1,6.341957360497111e-17,57
test,11,m1,2.8138590679487507e-16,58
test,11,m1,2.628142115827098e-13,59
test,11,m1,4.635217042006992e-14,60
test,11,m1,4.5497302735690874e-17,61
test,11,m1,2.831495346349022e-13,62
test,11,m1,1.8317379975438844e-16,63
test,11,m1,4.1431152836132127e-16,64
train,12,m1,9.29314701526903e-34,1
train,12,m1,2.0134755582811744e-24,2
train,12,m1,3.389245174121698e-17,3
train,12,m1,3.131988231674113e-16,4
train,12,m1,3.676921220374777e-21,5
train,12,m1,3.552210921732914e-18,6
train,12,m1,7.867650707494992e-16,7
train,12,m1,1.6140864628253385e-17,8
train,12,m1,3.1418025377361524e-15,9
train,12,m1,6.308041223473029e-20,10
train,12,m1,1.039448085574492e-14,11
train,12,m1,1.0110129671890165e-16,12
train,12,m1,7.81983050292824e-18,13
train,12,m1,2.9338736442328854e-17,14
train,12,m1,7.087130175390888e-15,15
train,12,m1,1.5797028146927753e-16,16
train,12,m1,2.0096978992263387e-15,17
train,12,m1,1.1836488697512836e-16,18
train,12,m1,1.8180325544710565e-15,19
train,12,m1,7.555794775656113e-15,20
train,12,m1,1.5326742696178397e-13,21
train,12,m1,1.4732937712983617e-16,22
train,12,m1,8.196818468116443e-14,23
train,12,m1,2.84348071008674e-15,24
train,12,m1,3.342896629743796e-15,25
train,12,m1,4.233626863252467e-14,26
train,12,m1,2.363853131791792e-14,27
train,12,m1,1.5598652469521468e-13,28
train,12,m1,5.186406452960604e-14,29
train,12,m1,5.978133569770061e-14,30
train,12,m1,5.5538320660073956e-14,31
train,12,m1,1.2243180915697677e-13,32
train,12,m1,6.464854286668612e-14,33
train,12,m1,5.0524932545051304e-14,34
train,12,m1,1.9228383127270834e-14,35
train,12,m1,2.404172069487686e-14,36
train,12,m1,2.2767871572446086e-13,37
train,12,m1,1.6277995932515582e-13,38
train,12,m1,3.4842414411685946e-15,39
train,12,m1,6.991090106996112e-13,40
test,12,m1,8.155772081943252e-25,41
test,12,m1,1.66759449931977e-20,42
test,12,m1,2.193246129729625e-19,43
test,12,m1,1.013307317149326e-20,44
test,12,m1,2.1499737021321433e-16,45
test,12,m1,7.191828000473611e-16,46
test,12,m1,2.3390801603537703e-17,47
test,12,m1,1.0709699958370652e-16,48
test,12,m1,1.1128209805535039e-15,49
test,12,m1,3.889958999716853e-15,50
test,12,m1,1.3149368272295965e-14,51
test,12,m1,6.827626067769127e-16,52
test,12,m1,7.811207145042374e-18,53
test,12,m1,5.606561370457457e-17,54
test,12,m1,3.348279524123597e-15,55
test,12,m1,2.4852048316394842e-14,56
test,12,m1,4.859900662782489e-15,57
test,12,m1,2.4498551291956877e-16,58
test,12,m1,7.396318122852505e-14,59
test,12,m1,1.0335980525242802e-13,60
test,12,m1,1.8475681168857812e-16,61
test,12,m1,2.471871050742044e-15,62
test,12,m1,5.475064693473029e-15,63
test,12,m1,4.694295218385727e-14,64
train,13,m1,2.5595525661519574e-35,1
train,13,m1,1.8502486407356403e-23,2
train,13,m1,1.6850499567040177e-17,3
train,13,m1,9.38907853461919e-22,4
train,13,m1,3.414051622758521e-20,5
train,13,m1,1.1869456973442872e-17,6
